INSERT INTO user_trips(user_id,trip_id)
VALUES (4, 230),
(17, 367),
(5, 356),
(36, 152),
(64, 403),
(43, 357),
(74, 466),
(83, 8),
(32, 209),
(3, 277),
(28, 115),
(83, 500),
(21, 137),
(97, 10),
(2, 97),
(14, 390),
(79, 206),
(95, 387),
(32, 62),
(36, 41),
(18, 265),
(52, 204),
(10, 86),
(104, 64),
(4, 458),
(84, 57),
(43, 185),
(43, 249),
(42, 347),
(24, 334),
(24, 16),
(98, 483),
(34, 404),
(45, 305),
(108, 104),
(1, 245),
(59, 42),
(5, 27),
(69, 81),
(5, 440),
(54, 497),
(33, 450),
(34, 453),
(82, 268),
(66, 98),
(31, 361),
(75, 472),
(28, 262),
(88, 348),
(41, 84),
(85, 248),
(85, 325),
(99, 189),
(16, 257),
(25, 133),
(95, 64),
(47, 176),
(20, 2),
(50, 332),
(53, 94),
(22, 202),
(64, 44),
(15, 138),
(82, 217),
(100, 250),
(52, 407),
(46, 42),
(93, 11),
(17, 448),
(42, 225),
(36, 342),
(22, 472),
(52, 58),
(66, 183),
(31, 185),
(93, 241),
(49, 135),
(47, 477),
(105, 475),
(40, 76),
(54, 320),
(31, 258),
(45, 212),
(31, 16),
(59, 408),
(98, 355),
(50, 246),
(92, 431),
(107, 349),
(105, 106),
(107, 61),
(88, 432),
(99, 35),
(42, 334),
(63, 78),
(35, 35),
(33, 305),
(37, 252),
(76, 172),
(95, 381),
(61, 333),
(16, 226),
(3, 109),
(32, 256),
(6, 13),
(79, 295),
(36, 64),
(77, 141),
(108, 282),
(7, 312),
(5, 498),
(73, 363),
(57, 81),
(38, 429),
(32, 414),
(81, 320),
(23, 7),
(48, 357),
(18, 170),
(83, 394),
(69, 288),
(59, 499),
(5, 496),
(73, 462),
(55, 445),
(29, 44),
(100, 201),
(68, 437),
(46, 25),
(23, 261),
(87, 77),
(72, 351),
(67, 68),
(108, 132),
(34, 98),
(77, 476),
(4, 363),
(45, 198),
(10, 471),
(80, 212),
(94, 131),
(103, 412),
(100, 228),
(92, 67),
(24, 252),
(97, 321),
(17, 36),
(86, 131),
(30, 215),
(60, 330),
(5, 349),
(62, 386),
(27, 443),
(52, 362),
(100, 210),
(80, 381),
(3, 452),
(25, 42),
(86, 452),
(79, 134),
(44, 34),
(83, 356),
(81, 254),
(58, 453),
(81, 265),
(96, 132),
(76, 367),
(5, 182),
(80, 238),
(25, 119),
(85, 138),
(22, 198),
(97, 299),
(69, 435),
(61, 304),
(28, 87),
(18, 67),
(48, 441),
(17, 329),
(70, 424),
(53, 257),
(83, 26),
(72, 461),
(49, 108),
(99, 71),
(51, 378),
(46, 23),
(43, 454),
(96, 215),
(70, 231),
(31, 395),
(48, 31),
(96, 233),
(17, 154),
(31, 305),
(40, 359),
(87, 92),
(84, 497),
(105, 393),
(102, 262),
(91, 464),
(93, 292),
(47, 458),
(21, 102),
(83, 121),
(101, 428),
(60, 372),
(85, 3),
(92, 283),
(50, 394),
(67, 136),
(77, 357),
(11, 242),
(104, 199),
(44, 374),
(14, 242),
(43, 313),
(45, 72),
(22, 183),
(84, 208),
(73, 427),
(83, 56),
(44, 213),
(45, 434),
(6, 261),
(47, 157),
(79, 237),
(102, 374),
(57, 383),
(29, 366),
(26, 274),
(101, 314),
(55, 446),
(104, 11),
(43, 219),
(78, 430),
(70, 141),
(28, 123),
(6, 123),
(12, 112),
(98, 129),
(58, 461),
(98, 455),
(84, 215),
(4, 136),
(72, 40),
(101, 193),
(49, 206),
(23, 112),
(101, 255),
(52, 346),
(43, 43),
(20, 139),
(71, 31),
(108, 406),
(79, 382),
(105, 278),
(45, 486),
(75, 356),
(74, 118),
(29, 355),
(91, 164),
(66, 381),
(72, 458),
(41, 6),
(34, 381),
(48, 227),
(79, 19),
(22, 4),
(91, 407),
(32, 73),
(8, 166),
(67, 411),
(17, 414),
(100, 134),
(48, 301),
(60, 267),
(36, 329),
(16, 392),
(53, 444),
(90, 70),
(34, 141),
(51, 170),
(45, 444),
(105, 268),
(50, 157),
(29, 31),
(80, 139),
(58, 227),
(68, 325),
(58, 25),
(10, 412),
(58, 320),
(80, 74),
(25, 226),
(37, 61),
(108, 202),
(106, 96),
(26, 454),
(106, 498),
(68, 407),
(30, 335),
(47, 251),
(89, 147),
(82, 76),
(72, 28),
(96, 136),
(101, 161),
(95, 386),
(7, 412),
(8, 201),
(95, 315),
(7, 374),
(20, 412),
(61, 66),
(48, 49),
(4, 270),
(26, 258),
(99, 264),
(8, 143),
(60, 50),
(22, 49),
(8, 305),
(69, 92),
(11, 136),
(19, 486),
(40, 464),
(41, 133),
(61, 57),
(51, 483),
(64, 202),
(3, 73),
(86, 1),
(27, 136),
(108, 237),
(44, 172),
(41, 475),
(78, 26),
(103, 223),
(90, 112),
(80, 415),
(105, 341),
(87, 72),
(24, 344),
(105, 401),
(33, 172),
(26, 413),
(25, 207),
(103, 381),
(95, 306),
(76, 94),
(10, 96),
(87, 377),
(13, 147),
(98, 457),
(50, 29),
(1, 264),
(57, 66),
(103, 180),
(101, 490),
(21, 214),
(62, 335),
(60, 297),
(41, 381),
(6, 186),
(32, 321),
(83, 141),
(89, 330),
(78, 203),
(67, 60),
(88, 295),
(54, 23),
(95, 194),
(43, 282),
(87, 222),
(43, 457),
(48, 196),
(73, 446),
(7, 120),
(64, 420),
(82, 191),
(10, 211),
(44, 439),
(47, 131),
(60, 67),
(68, 351),
(87, 339),
(105, 235),
(10, 413),
(41, 296),
(8, 321),
(24, 157),
(104, 48),
(63, 4),
(91, 150),
(31, 390),
(6, 264),
(38, 492),
(21, 83),
(20, 410),
(55, 498),
(83, 392),
(20, 200),
(24, 390),
(21, 453),
(78, 302),
(4, 497),
(56, 20),
(14, 347),
(40, 213),
(83, 489),
(82, 112),
(14, 444),
(98, 306),
(48, 390),
(96, 402),
(57, 164),
(96, 97),
(101, 365),
(86, 279),
(34, 92),
(108, 220),
(61, 231),
(69, 391),
(85, 190),
(69, 242),
(38, 476),
(56, 159),
(88, 460),
(76, 498),
(3, 216),
(86, 120),
(21, 437),
(16, 117),
(17, 489),
(58, 167),
(9, 169),
(46, 19),
(16, 110),
(25, 228),
(59, 217),
(12, 275),
(27, 64),
(24, 425),
(75, 246),
(9, 191),
(82, 339),
(73, 359),
(28, 344),
(1, 60),
(53, 242),
(30, 201),
(105, 108),
(95, 48),
(89, 29),
(15, 455),
(101, 493),
(2, 360),
(40, 255),
(33, 392),
(107, 312),
(40, 298),
(63, 160),
(91, 412),
(32, 191),
(18, 373),
(103, 1),
(86, 58),
(93, 327),
(43, 258),
(51, 209),
(27, 495),
(33, 262),
(59, 496),
(16, 117),
(41, 142),
(67, 135),
(73, 134),
(12, 116),
(48, 39),
(57, 428),
(100, 390),
(98, 26),
(39, 210),
(70, 463),
(91, 283),
(103, 7),
(3, 161),
(7, 438),
(56, 145),
(63, 146),
(87, 224),
(22, 96),
(61, 461),
(53, 260),
(17, 464),
(29, 57),
(72, 358),
(1, 260),
(85, 136);
